Experiment	Sweep	
Date	30.09.2022 15:44:59	
User		
X (m)	0.000000E+0	
Y (m)	0.000000E+0	
Comment01	FWD, plasmons, Vtip = -138. xyz default, #2	

[DATA]
BB Back Bias (V)	Bias (V)	Current (A)	BBX (Hz)	BB Back Bias (V)	Tip Current (A)
96.7500E+0	-138.000E+0	54.1789E-9	26.8333E+3	96.7500E+0	65.0858E-9
96.8000E+0	-138.000E+0	54.2196E-9	26.6367E+3	96.8000E+0	65.1343E-9
96.8500E+0	-138.000E+0	54.2007E-9	25.9600E+3	96.8500E+0	65.1074E-9
96.9000E+0	-138.000E+0	54.2423E-9	27.0233E+3	96.9000E+0	65.1592E-9
96.9500E+0	-138.000E+0	54.3271E-9	26.4300E+3	96.9500E+0	65.2613E-9
97.0000E+0	-138.000E+0	54.3171E-9	28.4600E+3	97.0000E+0	65.2547E-9
97.0500E+0	-138.000E+0	54.3471E-9	28.5400E+3	97.0500E+0	65.2904E-9
97.1000E+0	-138.000E+0	54.2679E-9	28.9633E+3	97.1000E+0	65.1941E-9
97.1500E+0	-138.000E+0	54.2850E-9	30.5533E+3	97.1500E+0	65.2143E-9
97.2000E+0	-138.000E+0	54.3188E-9	28.9500E+3	97.2000E+0	65.2601E-9
97.2500E+0	-138.000E+0	54.2341E-9	29.7367E+3	97.2500E+0	65.1570E-9
97.3000E+0	-138.000E+0	54.2703E-9	29.5700E+3	97.3000E+0	65.1943E-9
97.3500E+0	-138.000E+0	54.2832E-9	31.8700E+3	97.3500E+0	65.2122E-9
97.4000E+0	-138.000E+0	54.2164E-9	29.2933E+3	97.4000E+0	65.1296E-9
97.4500E+0	-138.000E+0	54.3036E-9	30.5467E+3	97.4500E+0	65.2406E-9
97.5000E+0	-138.000E+0	54.2614E-9	31.2800E+3	97.5000E+0	65.1841E-9
97.5500E+0	-138.000E+0	54.3084E-9	32.2833E+3	97.5500E+0	65.2491E-9
97.6000E+0	-138.000E+0	54.3198E-9	32.2100E+3	97.6000E+0	65.2604E-9
97.6500E+0	-138.000E+0	54.2743E-9	32.6233E+3	97.6500E+0	65.2027E-9
97.7000E+0	-138.000E+0	54.2935E-9	32.9067E+3	97.7000E+0	65.2243E-9
97.7500E+0	-138.000E+0	54.2513E-9	32.9667E+3	97.7500E+0	65.1755E-9
97.8000E+0	-138.000E+0	54.2621E-9	35.8033E+3	97.8000E+0	65.1890E-9
97.8500E+0	-138.000E+0	54.2347E-9	35.5367E+3	97.8500E+0	65.1539E-9
97.9000E+0	-138.000E+0	54.2805E-9	35.5367E+3	97.9000E+0	65.2124E-9
97.9500E+0	-138.000E+0	54.2998E-9	36.5900E+3	97.9500E+0	65.2355E-9
98.0000E+0	-138.000E+0	54.1763E-9	36.0300E+3	98.0000E+0	65.0814E-9
98.0500E+0	-138.000E+0	54.3074E-9	36.6067E+3	98.0500E+0	65.2410E-9
98.1000E+0	-138.000E+0	54.2590E-9	36.9133E+3	98.1000E+0	65.1848E-9
98.1500E+0	-138.000E+0	54.2427E-9	36.1167E+3	98.1500E+0	65.1607E-9
98.2000E+0	-138.000E+0	54.2549E-9	38.4233E+3	98.2000E+0	65.1807E-9
98.2500E+0	-138.000E+0	54.2480E-9	36.9733E+3	98.2500E+0	65.1679E-9
98.3000E+0	-138.000E+0	54.2462E-9	38.2800E+3	98.3000E+0	65.1657E-9
