Experiment	Sweep	
Date	30.09.2022 14:45:33	
User		
X (m)	0.000000E+0	
Y (m)	0.000000E+0	
Comment01	FWD, plasmons, Vtip = -134. xyz default	

[DATA]
BB Back Bias (V)	Bias (V)	Current (A)	BBX (Hz)	BB Back Bias (V)	Tip Current (A)
93.9000E+0	-134.000E+0	33.9197E-9	14.9933E+3	93.9000E+0	40.6801E-9
93.9500E+0	-134.000E+0	33.8604E-9	15.6667E+3	93.9500E+0	40.6113E-9
94.0000E+0	-134.000E+0	33.8847E-9	15.5133E+3	94.0000E+0	40.6398E-9
94.0500E+0	-134.000E+0	33.9238E-9	16.4333E+3	94.0500E+0	40.6861E-9
94.1000E+0	-134.000E+0	33.9119E-9	16.7367E+3	94.1000E+0	40.6731E-9
94.1500E+0	-134.000E+0	33.8912E-9	15.9367E+3	94.1500E+0	40.6494E-9
94.2000E+0	-134.000E+0	33.9082E-9	15.7767E+3	94.2000E+0	40.6692E-9
94.2500E+0	-134.000E+0	33.9382E-9	16.6133E+3	94.2500E+0	40.6985E-9
94.3000E+0	-134.000E+0	33.9284E-9	16.5900E+3	94.3000E+0	40.6892E-9
94.3500E+0	-134.000E+0	33.9199E-9	17.9367E+3	94.3500E+0	40.6819E-9
94.4000E+0	-134.000E+0	33.9147E-9	18.4467E+3	94.4000E+0	40.6779E-9
94.4500E+0	-134.000E+0	33.9461E-9	18.5433E+3	94.4500E+0	40.7098E-9
94.5000E+0	-134.000E+0	33.9403E-9	17.8033E+3	94.5000E+0	40.7056E-9
94.5500E+0	-134.000E+0	33.9627E-9	17.9300E+3	94.5500E+0	40.7364E-9
94.6000E+0	-134.000E+0	33.9400E-9	19.5700E+3	94.6000E+0	40.7016E-9
94.6500E+0	-134.000E+0	33.9435E-9	18.6800E+3	94.6500E+0	40.7122E-9
94.7000E+0	-134.000E+0	33.9297E-9	19.0567E+3	94.7000E+0	40.6957E-9
94.7500E+0	-134.000E+0	33.9290E-9	18.1767E+3	94.7500E+0	40.6975E-9
94.8000E+0	-134.000E+0	33.9413E-9	18.3500E+3	94.8000E+0	40.7111E-9
94.8500E+0	-134.000E+0	33.9250E-9	21.0467E+3	94.8500E+0	40.6879E-9
94.9000E+0	-134.000E+0	33.9287E-9	20.5300E+3	94.9000E+0	40.6946E-9
94.9500E+0	-134.000E+0	33.9537E-9	21.0100E+3	94.9500E+0	40.7241E-9
95.0000E+0	-134.000E+0	33.9555E-9	20.0733E+3	95.0000E+0	40.7238E-9
95.0500E+0	-134.000E+0	33.9489E-9	21.4000E+3	95.0500E+0	40.7219E-9
95.1000E+0	-134.000E+0	33.9759E-9	22.9667E+3	95.1000E+0	40.7440E-9
95.1500E+0	-134.000E+0	33.9661E-9	21.3633E+3	95.1500E+0	40.7310E-9
