Experiment	Sweep	
Date	30.09.2022 14:35:03	
User		
X (m)	0.000000E+0	
Y (m)	0.000000E+0	
Comment01	BWD, plasmons, Vtip = -132. xyz default	

[DATA]
BB Back Bias (V)	Bias (V)	Current (A)	BBX (Hz)	BB Back Bias (V)	Tip Current (A)
120.850E+0	-132.000E+0	24.5933E-9	44.4433E+3	120.850E+0	29.5667E-9
120.800E+0	-132.000E+0	24.5546E-9	43.2133E+3	120.800E+0	29.5202E-9
120.750E+0	-132.000E+0	24.6893E-9	40.4767E+3	120.750E+0	29.6762E-9
120.700E+0	-132.000E+0	24.6287E-9	39.1967E+3	120.700E+0	29.6059E-9
120.650E+0	-132.000E+0	24.7602E-9	38.2433E+3	120.650E+0	29.7709E-9
120.600E+0	-132.000E+0	24.7595E-9	36.8733E+3	120.600E+0	29.7698E-9
120.550E+0	-132.000E+0	24.7892E-9	34.8100E+3	120.550E+0	29.7957E-9
120.500E+0	-132.000E+0	24.7184E-9	32.6500E+3	120.500E+0	29.7185E-9
120.450E+0	-132.000E+0	24.7589E-9	31.2400E+3	120.450E+0	29.7634E-9
120.400E+0	-132.000E+0	24.7952E-9	28.9667E+3	120.400E+0	29.8098E-9
120.350E+0	-132.000E+0	24.7066E-9	29.1867E+3	120.350E+0	29.7035E-9
120.300E+0	-132.000E+0	24.6782E-9	27.6100E+3	120.300E+0	29.6671E-9
120.250E+0	-132.000E+0	24.6432E-9	26.3100E+3	120.250E+0	29.6296E-9
120.200E+0	-132.000E+0	24.6448E-9	28.4400E+3	120.200E+0	29.6292E-9
120.150E+0	-132.000E+0	24.7550E-9	27.4467E+3	120.150E+0	29.7621E-9
120.100E+0	-132.000E+0	24.7386E-9	26.7567E+3	120.100E+0	29.7471E-9
120.050E+0	-132.000E+0	24.6716E-9	26.7700E+3	120.050E+0	29.6656E-9
120.000E+0	-132.000E+0	24.7019E-9	25.9400E+3	120.000E+0	29.6981E-9
119.950E+0	-132.000E+0	24.7053E-9	25.1367E+3	119.950E+0	29.6965E-9
119.900E+0	-132.000E+0	24.7986E-9	26.6500E+3	119.900E+0	29.8106E-9
119.850E+0	-132.000E+0	24.7951E-9	24.4933E+3	119.850E+0	29.8146E-9
119.800E+0	-132.000E+0	24.7309E-9	24.1000E+3	119.800E+0	29.7351E-9
119.750E+0	-132.000E+0	24.8025E-9	25.4567E+3	119.750E+0	29.8189E-9
119.700E+0	-132.000E+0	24.7333E-9	24.1467E+3	119.700E+0	29.7319E-9
119.650E+0	-132.000E+0	24.7397E-9	25.2400E+3	119.650E+0	29.7385E-9
119.600E+0	-132.000E+0	24.6938E-9	23.7800E+3	119.600E+0	29.6922E-9
119.550E+0	-132.000E+0	24.6835E-9	24.0233E+3	119.550E+0	29.6756E-9
119.500E+0	-132.000E+0	24.5814E-9	23.3767E+3	119.500E+0	29.5518E-9
119.450E+0	-132.000E+0	24.6026E-9	24.7767E+3	119.450E+0	29.5810E-9
119.400E+0	-132.000E+0	24.6303E-9	23.6867E+3	119.400E+0	29.6147E-9
119.350E+0	-132.000E+0	24.6728E-9	23.1900E+3	119.350E+0	29.6659E-9
