Experiment	Sweep	
Date	30.08.2022 14:26:10	
User		
X (m)	0.000000E+0	
Y (m)	0.000000E+0	
Comment01	Vtip=135, BWD, XYZ default	

[DATA]
BB Back Bias (V)	Timestamp (ms)	Bias (V)	Current (A)	BBX (Hz)	BB Back Bias (V)	Tip Current (A)
115.700E+0	6.80851E+6	-135.000E+0	8.47070E-9	2.71000E+3	115.700E+0	9.15039E-9
115.600E+0	6.80889E+6	-135.000E+0	8.39090E-9	2.82500E+3	115.600E+0	9.06279E-9
115.500E+0	6.80928E+6	-135.000E+0	9.32895E-9	3.86500E+3	115.500E+0	10.0722E-9
115.400E+0	6.80969E+6	-135.000E+0	9.14311E-9	3.70000E+3	115.400E+0	9.87551E-9
115.300E+0	6.81010E+6	-135.000E+0	8.74718E-9	3.13500E+3	115.300E+0	9.44463E-9
115.200E+0	6.81052E+6	-135.000E+0	8.94989E-9	2.97000E+3	115.200E+0	9.66294E-9
115.100E+0	6.81089E+6	-135.000E+0	8.82278E-9	2.83500E+3	115.100E+0	9.52616E-9
115.000E+0	6.81130E+6	-135.000E+0	8.37521E-9	2.78000E+3	115.000E+0	9.04685E-9
114.900E+0	6.81170E+6	-135.000E+0	8.95483E-9	3.29500E+3	114.900E+0	9.66966E-9
114.800E+0	6.81209E+6	-135.000E+0	8.78305E-9	2.84000E+3	114.800E+0	9.48578E-9
114.700E+0	6.81251E+6	-135.000E+0	9.00317E-9	3.50000E+3	114.700E+0	9.71934E-9
114.600E+0	6.81292E+6	-135.000E+0	8.58344E-9	3.54500E+3	114.600E+0	9.27023E-9
114.500E+0	6.81328E+6	-135.000E+0	8.98916E-9	2.70000E+3	114.500E+0	9.70633E-9
114.400E+0	6.81370E+6	-135.000E+0	8.37267E-9	3.28500E+3	114.400E+0	9.04684E-9
114.300E+0	6.81413E+6	-135.000E+0	8.63585E-9	3.18500E+3	114.300E+0	9.32879E-9
114.200E+0	6.81450E+6	-135.000E+0	8.74403E-9	3.42500E+3	114.200E+0	9.44338E-9
114.100E+0	6.81488E+6	-135.000E+0	8.17286E-9	2.66000E+3	114.100E+0	8.83263E-9
114.000E+0	6.81530E+6	-135.000E+0	8.88359E-9	3.38500E+3	114.000E+0	9.59156E-9
113.900E+0	6.81572E+6	-135.000E+0	8.59131E-9	3.14000E+3	113.900E+0	9.27727E-9
113.800E+0	6.81610E+6	-135.000E+0	8.77980E-9	2.89000E+3	113.800E+0	9.48050E-9
113.700E+0	6.81651E+6	-135.000E+0	8.66979E-9	3.36000E+3	113.700E+0	9.36385E-9
113.600E+0	6.81691E+6	-135.000E+0	8.70262E-9	3.62000E+3	113.600E+0	9.39607E-9
113.500E+0	6.81732E+6	-135.000E+0	8.53453E-9	3.76000E+3	113.500E+0	9.21694E-9
113.400E+0	6.81769E+6	-135.000E+0	8.73849E-9	4.45500E+3	113.400E+0	9.43544E-9
113.300E+0	6.81811E+6	-135.000E+0	8.83093E-9	3.53500E+3	113.300E+0	9.53499E-9
113.200E+0	6.81852E+6	-135.000E+0	8.96559E-9	3.25000E+3	113.200E+0	9.68214E-9
113.100E+0	6.81891E+6	-135.000E+0	8.99562E-9	3.24500E+3	113.100E+0	9.71173E-9
113.000E+0	6.81931E+6	-135.000E+0	8.36745E-9	3.47000E+3	113.000E+0	9.03561E-9
112.900E+0	6.81972E+6	-135.000E+0	8.83533E-9	3.81500E+3	112.900E+0	9.53944E-9
112.800E+0	6.82010E+6	-135.000E+0	8.56671E-9	3.27500E+3	112.800E+0	9.25141E-9
112.700E+0	6.82051E+6	-135.000E+0	9.50076E-9	4.58500E+3	112.700E+0	10.2602E-9
112.600E+0	6.82092E+6	-135.000E+0	8.77241E-9	4.28500E+3	112.600E+0	9.47566E-9
112.500E+0	6.82133E+6	-135.000E+0	8.50852E-9	3.39000E+3	112.500E+0	9.19139E-9
112.400E+0	6.82171E+6	-135.000E+0	8.73331E-9	3.49000E+3	112.400E+0	9.43183E-9
112.300E+0	6.82212E+6	-135.000E+0	8.59430E-9	3.69500E+3	112.300E+0	9.28279E-9
112.200E+0	6.82250E+6	-135.000E+0	8.79550E-9	4.21500E+3	112.200E+0	9.49809E-9
112.100E+0	6.82292E+6	-135.000E+0	8.90037E-9	4.98000E+3	112.100E+0	9.61352E-9
112.000E+0	6.82330E+6	-135.000E+0	8.88029E-9	3.60000E+3	112.000E+0	9.59009E-9
