Experiment	Z spectroscopy	
Date	02.05.2018 17:07:33	
User		
X (m)	639.704E-9	
Y (m)	362.349E-9	
Z (m)	-59.122E-9	
Z offset (m)	0E+0	
Z sweep distance (m)	-50E-9	
Settling time (s)	250E-6	
Integration time (s)	1E-3	
Final Z (m)	N/A	
Filter type	None	
Order		
Cutoff frq		
Comment01	Clam 38 eV	

[DATA]
Z rel (m)	Current (A)	Tip Current (A)	Pressure Lisa (V)	Channeltron (Hz)	CLAM  2 (Hz)	Bias (V)	Z (m)	Current [bwd] (A)	Tip Current [bwd] (A)	Pressure Lisa [bwd] (V)	Channeltron [bwd] (Hz)	CLAM  2 [bwd] (Hz)	Bias [bwd] (V)	Z [bwd] (m)
5.01002E-9	-202.461E-9	200.530E-9	3.31397E+0	48.5000E+3	4.60000E+3	-115.000E+0	-54.1120E-9	-218.286E-9	216.592E-9	3.31290E+0	46.2000E+3	5.10000E+3	-115.000E+0	-54.1120E-9
5.11022E-9	-202.143E-9	199.238E-9	3.31360E+0	47.7000E+3	4.30000E+3	-115.000E+0	-54.0118E-9	-217.880E-9	215.891E-9	3.31315E+0	50.7000E+3	5.10000E+3	-115.000E+0	-54.0118E-9
5.21042E-9	-202.581E-9	199.927E-9	3.31355E+0	47.6000E+3	3.80000E+3	-115.000E+0	-53.9116E-9	-217.460E-9	216.434E-9	3.31337E+0	47.1000E+3	6.60000E+3	-115.000E+0	-53.9116E-9
5.31062E-9	-203.489E-9	202.043E-9	3.31358E+0	45.9000E+3	4.60000E+3	-115.000E+0	-53.8114E-9	-217.178E-9	215.235E-9	3.31327E+0	55.5000E+3	3.30000E+3	-115.000E+0	-53.8114E-9
5.41082E-9	-202.984E-9	200.481E-9	3.31390E+0	47.1000E+3	4.70000E+3	-115.000E+0	-53.7112E-9	-216.793E-9	214.518E-9	3.31299E+0	48.8000E+3	3.40000E+3	-115.000E+0	-53.7112E-9
5.51102E-9	-202.844E-9	201.651E-9	3.31414E+0	45.8000E+3	3.20000E+3	-115.000E+0	-53.6110E-9	-216.974E-9	215.263E-9	3.31273E+0	51.7000E+3	4.70000E+3	-115.000E+0	-53.6110E-9
5.61122E-9	-202.730E-9	199.765E-9	3.31444E+0	50.4000E+3	4.70000E+3	-115.000E+0	-53.5108E-9	-216.627E-9	215.553E-9	3.31244E+0	46.5000E+3	5.20000E+3	-115.000E+0	-53.5108E-9
5.71142E-9	-202.959E-9	199.719E-9	3.31472E+0	46.8000E+3	3.70000E+3	-115.000E+0	-53.4106E-9	-216.356E-9	214.287E-9	3.31205E+0	47.0000E+3	4.40000E+3	-115.000E+0	-53.4106E-9
5.81162E-9	-202.848E-9	201.103E-9	3.31523E+0	48.8000E+3	4.60000E+3	-115.000E+0	-53.3104E-9	-216.067E-9	212.832E-9	3.31165E+0	45.6000E+3	5.40000E+3	-115.000E+0	-53.3104E-9
5.91182E-9	-202.397E-9	200.760E-9	3.31528E+0	46.8000E+3	4.00000E+3	-115.000E+0	-53.2102E-9	-215.210E-9	214.623E-9	3.31141E+0	50.3000E+3	6.20000E+3	-115.000E+0	-53.2102E-9
6.01202E-9	-201.921E-9	199.450E-9	3.31545E+0	45.3000E+3	5.50000E+3	-115.000E+0	-53.1100E-9	-214.224E-9	211.424E-9	3.31141E+0	51.3000E+3	4.80000E+3	-115.000E+0	-53.1100E-9
6.11222E-9	-201.569E-9	199.777E-9	3.31534E+0	43.8000E+3	4.20000E+3	-115.000E+0	-53.0098E-9	-213.739E-9	211.612E-9	3.31164E+0	47.7000E+3	3.40000E+3	-115.000E+0	-53.0098E-9
6.21242E-9	-200.782E-9	199.941E-9	3.31504E+0	43.4000E+3	4.90000E+3	-115.000E+0	-52.9096E-9	-213.603E-9	211.330E-9	3.31166E+0	50.7000E+3	3.70000E+3	-115.000E+0	-52.9096E-9
6.31263E-9	-200.487E-9	198.273E-9	3.31491E+0	45.1000E+3	4.10000E+3	-115.000E+0	-52.8094E-9	-213.349E-9	211.195E-9	3.31192E+0	50.8000E+3	5.60000E+3	-115.000E+0	-52.8094E-9
6.41283E-9	-199.813E-9	197.510E-9	3.31456E+0	46.4000E+3	4.90000E+3	-115.000E+0	-52.7092E-9	-212.888E-9	210.713E-9	3.31225E+0	50.5000E+3	3.50000E+3	-115.000E+0	-52.7092E-9
6.51303E-9	-198.521E-9	196.161E-9	3.31439E+0	47.8000E+3	4.10000E+3	-115.000E+0	-52.6090E-9	-212.036E-9	211.277E-9	3.31251E+0	53.0000E+3	4.00000E+3	-115.000E+0	-52.6090E-9
6.61323E-9	-198.076E-9	195.504E-9	3.31429E+0	43.9000E+3	4.50000E+3	-115.000E+0	-52.5088E-9	-204.089E-9	202.057E-9	3.31288E+0	48.4000E+3	3.00000E+3	-115.000E+0	-52.5088E-9
